Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
RPS26	S26	ENSG00000197728	Ribosomal protein S26	12	56041853-56044675	Disease related genes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA043961, HPA055803	Uncertain		Enhanced	Nucleoli<br>Endoplasmic reticulum<br>Cytosol		Expressed in all	Expressed in all			thyroid gland: 824.8	Expressed in all		
RPS27	MPS-1, MPS1, S27	ENSG00000177954	Ribosomal protein S27	1	153990759-153992150	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA066851			Approved	Nucleoli<br>Endoplasmic reticulum<br>Cytosol	Renal cancer:4.86e-7 (unfavourable), Breast cancer:9.69e-4 (favourable)	Expressed in all	Expressed in all			ovary: 12000.9	Expressed in all		
RPS27A	S27A, Uba80, UBCEP80	ENSG00000143947	Ribosomal protein S27a	2	55231903-55235853	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	CAB033319, HPA041344, HPA049132, HPA054087	Supported		Approved	Nucleoli<br>Endoplasmic reticulum<br>Cytosol	Renal cancer:2.60e-6 (unfavourable), Liver cancer:2.26e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 3413.3	Expressed in all		
RPS27L		ENSG00000185088	Ribosomal protein S27 like	15	63125872-63158021	Predicted intracellular proteins, Predicted secreted proteins, Ribosomal proteins	Evidence at protein level	HPA066851			Supported	Nucleoli<br>Endoplasmic reticulum<br>Cytosol	Endometrial cancer:9.08e-6 (favourable)	Expressed in all	Expressed in all			adrenal gland: 222.3	Expressed in all		
RPS28	S28	ENSG00000233927	Ribosomal protein S28	19	8321158-8323340	Disease related genes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA047132	Approved		Approved	Cytosol	Endometrial cancer:2.47e-4 (favourable)	Expressed in all	Expressed in all			ovary: 306.5	Expressed in all		
RPS29	S29	ENSG00000213741	Ribosomal protein S29	14	49570984-49599164	Disease related genes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA004107	Approved		Supported	Endoplasmic reticulum<br>Cytosol	Breast cancer:2.66e-4 (favourable)	Expressed in all	Expressed in all			breast: 3653.3	Expressed in all		
RPS3	FLJ26283, FLJ27450, MGC87870, S3	ENSG00000149273	Ribosomal protein S3	11	75399486-75422280	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA063339	Uncertain		Enhanced	Endoplasmic reticulum<br>Cytosol	Renal cancer:6.92e-6 (unfavourable)	Expressed in all	Expressed in all			ovary: 3537.9	Expressed in all		
RPS3A	MFTL, S3A	ENSG00000145425	Ribosomal protein S3A	4	151099573-151104652	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA047100, HPA053454	Approved		Enhanced	Nucleoli<br>Endoplasmic reticulum<br>Cytosol	Liver cancer:6.56e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 5260.9	Expressed in all		
RPS4X	CCG2, DXS306, FLJ40595, RPS4, S4, SCAR, SCR10	ENSG00000198034	Ribosomal protein S4, X-linked	X	72255679-72277300	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA000857	Supported				Renal cancer:4.50e-6 (unfavourable), Thyroid cancer:4.22e-4 (favourable)	Expressed in all	Expressed in all			ovary: 1948.7	Expressed in all		
RPS4Y1	MGC119100, MGC5070, RPS4Y, S4	ENSG00000129824	Ribosomal protein S4, Y-linked 1	Y	2841486-2932000	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA000857	Approved					Mixed	Mixed			prostate: 403.7	Cell line enhanced		U-698: 1166.0
RPS4Y2	RPS4Y2P	ENSG00000280969	Ribosomal protein S4, Y-linked 2	Y	20756164-20781032	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA000857	Uncertain					Tissue enriched	Group enriched	13	prostate: 3.5;testis: 2.2	tonsil: 0.2	Cell line enriched	7	U-266/84: 1.3
RPS5	S5	ENSG00000083845	Ribosomal protein S5	19	58386400-58394806	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA055878, HPA061979	Enhanced		Supported	Endoplasmic reticulum<br>Cytosol	Liver cancer:1.12e-5 (unfavourable), Renal cancer:4.75e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 2648.9	Expressed in all		
RPS6	S6	ENSG00000137154	Ribosomal protein S6	9	19375715-19380254	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	CAB004027, HPA031153	Supported		Enhanced	Endoplasmic reticulum<br>Cytosol	Endometrial cancer:4.12e-4 (favourable)	Expressed in all	Expressed in all			ovary: 4805.4	Expressed in all		
RPS7	S7	ENSG00000171863	Ribosomal protein S7	2	3575205-3580919	Disease related genes, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA056586	Approved		Approved	Endoplasmic reticulum<br>Cytosol	Renal cancer:1.34e-8 (unfavourable), Liver cancer:5.27e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 2616.2	Expressed in all		
RPS8	S8	ENSG00000142937	Ribosomal protein S8	1	44775251-44778779	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA029266			Supported	Endoplasmic reticulum<br>Cytosol	Renal cancer:9.05e-9 (unfavourable), Liver cancer:2.36e-5 (unfavourable)	Expressed in all	Expressed in all			ovary: 5543.6	Expressed in all		
RPS9	S9	ENSG00000170889	Ribosomal protein S9	19	54200742-54249003	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA048746	Approved				Renal cancer:1.63e-4 (unfavourable), Breast cancer:9.23e-4 (favourable)	Expressed in all	Expressed in all			ovary: 112.4	Expressed in all		
RPSA	37LRP, LAMR1, LRP, p40, SA	ENSG00000168028	Ribosomal protein SA	3	39406689-39412542	Disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	CAB009561	Approved		Supported	Plasma membrane<br>Cytosol		Expressed in all	Expressed in all			ovary: 2084.6	Expressed in all		
RSL1D1	CSIG, DKFZP564M182, L12, PBK1, UTP30	ENSG00000171490	Ribosomal L1 domain containing 1	16	11833850-11851585	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA043483	Supported		Enhanced	Nucleoli	Liver cancer:1.38e-4 (unfavourable), Head and neck cancer:2.95e-4 (unfavourable), Renal cancer:3.24e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 145.4	Expressed in all		
RSL24D1	C15orf15, HRP-L30-iso, L30, RPL24, RPL24L	ENSG00000137876	Ribosomal L24 domain containing 1	15	55180806-55197067	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA062724, HPA063392	Enhanced		Enhanced	Nucleus<br>Nucleoli		Expressed in all	Expressed in all			ovary: 124.4	Expressed in all		
SNU13	15.5K, FA-1, NHP2L1, SNRNP15-5, SPAG12, SSFA1	ENSG00000100138	SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)	22	41673930-41690504	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA029199	Uncertain					Expressed in all	Expressed in all			testis: 168.8	Expressed in all		
UBA52	CEP52, HUBCEP52, L40, MGC126879, MGC126881, MGC57125, RPL40	ENSG00000221983	Ubiquitin A-52 residue ribosomal protein fusion product 1	19	18571730-18577550	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA041344, HPA049132, HPA056624	Supported		Approved	Nucleoplasm<br>Endoplasmic reticulum<br>Plasma membrane<br>Cytosol		Expressed in all	Expressed in all			ovary: 1914.0	Expressed in all		
