Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
PROP1		ENSG00000175325	PROP paired-like homeobox 1	5	177992235-177996242	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA049839	Supported					Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
PROX1		ENSG00000117707	Prospero homeobox 1	1	213983181-214041502	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA000842, HPA001030			Supported	Nucleoplasm		Tissue enhanced	Tissue enhanced		liver: 45.3	adrenal gland: 13.3	Cell line enhanced		Hep G2: 21.7;RH-30: 15.7;SH-SY5Y: 83.1
PROX2	FLJ36749	ENSG00000119608	Prospero homeobox 2	14	74852871-74871940	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA045057	Uncertain					Not detected	Mixed			skin: 2.4	Cell line enhanced		AF22: 1.8
PRRX1	PHOX1, PMX1	ENSG00000116132	Paired related homeobox 1	1	170662728-170739419	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA051084, HPA063566	Uncertain		Supported	Nucleoplasm	Renal cancer:6.60e-10 (unfavourable)	Mixed	Mixed			cervix, uterine: 135.8	Cell line enhanced		ASC diff: 240.8;ASC TERT1: 194.6;BJ hTERT+: 165.0;U-138 MG: 137.1;U-2197: 125.0
PRRX2	PMX2, PRX2	ENSG00000167157	Paired related homeobox 2	9	129665641-129722674	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA006607, HPA026808	Approved		Approved	Nucleoplasm<br>Nuclear bodies		Mixed	Tissue enhanced		cervix, uterine: 9.9;skin: 10.7	testis: 6.3	Cell line enhanced		BJ: 24.1;BJ hTERT+: 16.5;fHDF/TERT166: 32.1;U-2197: 31.5
PSPC1	FLJ10955, PSP1	ENSG00000121390	Paraspeckle component 1	13	19674752-19783019	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA038904	Supported		Approved	Nucleoplasm<br>Nucleoli fibrillar center	Thyroid cancer:1.46e-4 (favourable), Liver cancer:2.21e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 45.5	Expressed in all		
PTF1A	bHLHa29, PTF1-p48	ENSG00000168267	Pancreas specific transcription factor, 1a	10	23192327-23194252	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB022612			Approved	Nucleoplasm		Tissue enhanced	Tissue enriched	6	pancreas: 18.2	testis: 3.1	Cell line enriched	10	U-2 OS: 2.6
PURA	PUR-ALPHA, PUR1, PURALPHA	ENSG00000185129	Purine rich element binding protein A	5	140107777-140125619	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level						Renal cancer:4.77e-5 (favourable)	Expressed in all	Mixed			parathyroid gland: 26.9	Expressed in all		
PURB	PURBETA	ENSG00000146676	Purine rich element binding protein B	7	44876293-44885361	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA048766			Supported	Nucleus		Expressed in all	Expressed in all			cerebral cortex: 24.5	Expressed in all		
PURG	PURG-A, PURG-B	ENSG00000172733	Purine rich element binding protein G	8	30995802-31033715	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA047746	Uncertain		Approved	Nucleus<br>Nucleoli<br>Plasma membrane		Tissue enhanced	Tissue enhanced		cerebral cortex: 6.6;testis: 4.8	endometrium: 2.6	Cell line enhanced		AF22: 6.0;NTERA-2: 4.8;SH-SY5Y: 6.0
RARA	NR1B1, RAR	ENSG00000131759	Retinoic acid receptor alpha	17	40309192-40357643	Cancer-related genes, Disease related genes, FDA approved drug targets, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA058282			Supported	Nucleus<br>Cytosol	Endometrial cancer:2.60e-4 (favourable)	Expressed in all	Expressed in all			gallbladder: 68.6	Expressed in all		
RARB	HAP, NR1B2, RRB2	ENSG00000077092	Retinoic acid receptor beta	3	25174332-25597932	Cancer-related genes, Disease related genes, FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB002617, HPA004174	Enhanced		Enhanced	Nucleoplasm	Renal cancer:3.43e-5 (favourable)	Expressed in all	Mixed			placenta: 20.6	Cell line enhanced		HEK 293: 14.7;HUVEC TERT2: 11.2;WM-115: 36.1
RARG	NR1B3, RARC	ENSG00000172819	Retinoic acid receptor gamma	12	53210567-53232980	Cancer-related genes, FDA approved drug targets, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA053883	Supported		Supported	Nucleoplasm	Renal cancer:3.08e-6 (unfavourable), Endometrial cancer:3.68e-6 (unfavourable)	Expressed in all	Tissue enhanced		skin: 143.4	esophagus: 77.3	Mixed		
RAX	RX	ENSG00000134438	Retina and anterior neural fold homeobox	18	59267035-59274086	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level							Not detected	Not detected			prostate: 0.2	Cell line enhanced		HMC-1: 1.6;SH-SY5Y: 1.0
RAX2	ARMD6, CORD11, MGC15631, RAXL1	ENSG00000173976	Retina and anterior neural fold homeobox 2	19	3769089-3772221	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA052533	Uncertain					Not detected	Tissue enhanced		parathyroid gland: 1.2	fallopian tube: 0.7	Not detected		
RBAK	ZNF769	ENSG00000146587	RB associated KRAB zinc finger	7	5045821-5069488	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA071231			Supported	Nucleoplasm		Expressed in all	Expressed in all			parathyroid gland: 14.8	Expressed in all		
RBPJ	CBF1, IGKJRB, IGKJRB1, KBF2, RBP-J, RBPJK, RBPSUH, SUH	ENSG00000168214	Recombination signal binding protein for immunoglobulin kappa J region	4	26163455-26435131	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA060647			Supported	Nucleoplasm	Endometrial cancer:2.98e-4 (favourable)	Expressed in all	Expressed in all			placenta: 77.2	Expressed in all		
RBPJL	RBP-L, RBPSUHL, SUH, SUHL	ENSG00000124232	Recombination signal binding protein for immunoglobulin kappa J region like	20	45306851-45317824	Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB006846	Enhanced					Group enriched	Tissue enriched	151	pancreas: 205.8	stomach: 1.3	Not detected		
RC3H2	FLJ20301, FLJ20713, MNAB, RNF164	ENSG00000056586	Ring finger and CCCH-type domains 2	9	122844556-122905341	Enzymes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA042863, HPA062144	Approved		Supported	Vesicles	Renal cancer:5.50e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 25.5	Expressed in all		
RCOR2		ENSG00000167771	REST corepressor 2	11	63911221-63916844	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA021638	Uncertain		Approved	Nucleus<br>Vesicles<br>Midbody		Mixed	Tissue enhanced		cerebral cortex: 13.2	testis: 3.7	Cell line enhanced		AF22: 39.9;NTERA-2: 52.3;SCLC-21H: 95.8;SH-SY5Y: 57.5
RCOR3	FLJ10876	ENSG00000117625	REST corepressor 3	1	211258377-211316385	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA007413, HPA071997	Enhanced		Approved	Nucleus<br>Nucleoli	Glioma:1.92e-5 (favourable), Lung cancer:5.75e-5 (favourable)	Expressed in all	Expressed in all			testis: 66.3	Expressed in all		
REL	c-Rel, I-Rel	ENSG00000162924	REL proto-oncogene, NF-kB subunit	2	60881521-60931610	Cancer-related genes, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors	Evidence at protein level	CAB004404	Uncertain					Mixed	Mixed			bone marrow: 29.8	Expressed in all		
RELA	NFKB3, p65	ENSG00000173039	RELA proto-oncogene, NF-kB subunit	11	65653596-65663094	Cancer-related genes, Disease related genes, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors	Evidence at protein level	CAB004264, CAB005030, HPA063461	Supported		Enhanced	Cytosol	Renal cancer:5.66e-4 (unfavourable), Liver cancer:9.18e-4 (unfavourable)	Expressed in all	Expressed in all			endometrium: 62.5	Expressed in all		
RELB	REL-B	ENSG00000104856	RELB proto-oncogene, NF-kB subunit	19	45001430-45038198	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB007753, HPA040506	Approved		Approved	Nucleoplasm<br>Cytosol	Renal cancer:2.99e-6 (unfavourable), Breast cancer:1.55e-4 (favourable)	Expressed in all	Expressed in all			appendix: 25.1	Cell line enhanced		HDLM-2: 73.5
RERE	ARG, ARP, ATN1L, DNB1, KIAA0458	ENSG00000142599	Arginine-glutamic acid dipeptide repeats	1	8352397-8817643	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA024093	Uncertain					Expressed in all	Expressed in all			endometrium: 93.2	Expressed in all		
REST	NRSF, XBR	ENSG00000084093	RE1 silencing transcription factor	4	56907876-56966678	Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA006079, CAB068222	Supported		Approved	Nucleoplasm<br>Cytosol	Renal cancer:9.50e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 32.2	Mixed		
RFX1	EF-C	ENSG00000132005	Regulatory factor X1	19	13961538-14007039	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA048722	Approved		Supported	Nucleoplasm	Head and neck cancer:2.42e-4 (favourable), Pancreatic cancer:4.92e-4 (favourable)	Expressed in all	Expressed in all			testis: 16.8	Expressed in all		
RFX2	FLJ14226	ENSG00000087903	Regulatory factor X2	19	5993164-6199572	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA048969	Enhanced		Approved	Nucleoplasm<br>Golgi apparatus<br>Cytosol	Endometrial cancer:2.67e-4 (favourable), Cervical cancer:2.80e-4 (favourable), Pancreatic cancer:7.36e-4 (favourable)	Mixed	Tissue enhanced		testis: 93.1	fallopian tube: 32.8	Cell line enhanced		SCLC-21H: 27.7
RFX3		ENSG00000080298	Regulatory factor X3	9	3218297-3526004	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA035689	Enhanced		Approved	Nucleoplasm<br>Vesicles	Breast cancer:1.47e-4 (favourable)	Mixed	Tissue enhanced		testis: 38.6	fallopian tube: 18.3	Cell line enhanced		AF22: 26.0;SCLC-21H: 16.6
RFX4		ENSG00000111783	Regulatory factor X4	12	106582907-106762803	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA050527	Enhanced		Approved	Nucleus		Tissue enriched	Group enriched	236	cerebral cortex: 30.8;testis: 135.8	prostate: 0.3	Cell line enriched	13	AF22: 47.1
RFX5		ENSG00000143390	Regulatory factor X5	1	151340640-151347357	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA018519	Supported					Expressed in all	Expressed in all			lymph node: 85.6	Expressed in all		
RFX6	dJ955L16.1, MGC33442, RFXDC1	ENSG00000185002	Regulatory factor X6	6	116877212-116932163	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA037696, HPA037697	Approved		Supported	Nucleus<br>Nucleoli	Pancreatic cancer:3.59e-4 (favourable)	Tissue enhanced	Tissue enhanced		adrenal gland: 5.9;stomach: 7.2	duodenum: 2.3	Cell line enhanced		HEK 293: 1.2
RFX7	FLJ12994, RFXDC2	ENSG00000181827	Regulatory factor X7	15	56087280-56243266	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA035462	Supported		Approved	Nucleus<br>Nuclear membrane	Renal cancer:1.12e-5 (unfavourable)	Expressed in all	Mixed			testis: 8.2	Expressed in all		
RFX8	FLJ42986	ENSG00000196460	RFX family member 8, lacking RFX DNA binding domain	2	101397361-101474703	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA059745			Approved	Nucleoplasm<br>Nuclear bodies		Mixed	Tissue enhanced		bone marrow: 2.6	testis: 1.3	Cell line enhanced		hTEC/SVTERT24-B: 13.4;LHCN-M2: 5.8;U-87 MG: 8.3
RFXANK	ANKRA1, BLS, F14150_1, MGC138628, RFX-B	ENSG00000064490	Regulatory factor X associated ankyrin containing protein	19	19192229-19201869	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA049157, HPA053330	Approved		Enhanced	Nucleoplasm		Expressed in all	Expressed in all			fallopian tube: 50.1	Expressed in all		
RFXAP		ENSG00000133111	Regulatory factor X associated protein	13	36819224-36829104	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA032035			Approved	Nuclear speckles	Lung cancer:2.26e-5 (favourable), Pancreatic cancer:4.18e-4 (favourable), Stomach cancer:4.91e-4 (favourable)	Expressed in all	Mixed			testis: 12.2	Expressed in all		
RHOXF1	OTEX, PEPP1	ENSG00000101883	Rhox homeobox family member 1	X	120109053-120115937	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA056506	Approved					Mixed	Tissue enriched	9	testis: 15.5	adipose tissue: 1.6	Not detected		
RHOXF2	CT107, PEPP-2, PEPP2, THG1	ENSG00000131721	Rhox homeobox family member 2	X	120158561-120165630	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003314, CAB020794	Enhanced					Tissue enhanced	Tissue enriched	184	testis: 20.8	skin: 0.1	Cell line enhanced		K-562: 209.3;NB-4: 108.3;THP-1: 42.9;U-266/84: 73.5
RHOXF2B		ENSG00000203989	Rhox homeobox family member 2B	X	120070672-120077705	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003314	Supported					Not detected	Tissue enriched	19	testis: 2.7	ovary,skin,spleen: 0.1	Group enriched	341	HL-60: 168.7;K-562: 191.8;NB-4: 216.8
RLF	Zn-15L, ZNF292L	ENSG00000117000	Rearranged L-myc fusion	1	40161373-40240921	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA054653, HPA057300	Uncertain		Approved	Nucleus	Renal cancer:7.68e-6 (unfavourable), Liver cancer:1.75e-4 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 20.8	Expressed in all		
RORA	NR1F1, ROR1, ROR2, ROR3, RZRA	ENSG00000069667	RAR related orphan receptor A	15	60488284-61229319	Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB009861	Approved				Renal cancer:5.42e-6 (favourable)	Mixed	Expressed in all			skin: 76.3	Cell line enhanced		Karpas-707: 52.5;U-266/70: 31.7;U-266/84: 43.2
RORB	NR1F2, ROR-BETA, RZRB	ENSG00000198963	RAR related orphan receptor B	9	74497365-74693177	Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA008393	Uncertain		Approved	Nucleus		Group enriched	Tissue enhanced		cerebral cortex: 12.6;cervix, uterine: 14.1	prostate: 7.4	Cell line enhanced		HHSteC: 18.9;HSkMC: 9.0;MOLT-4: 5.5;SH-SY5Y: 14.3
RORC	NR1F3, RORG, RZRG, TOR	ENSG00000143365	RAR related orphan receptor C	1	151806071-151831872	Disease related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA065620			Supported	Nuclear bodies	Renal cancer:2.94e-5 (favourable), Colorectal cancer:1.83e-4 (favourable)	Mixed	Mixed			thyroid gland: 50.4	Cell line enhanced		HDLM-2: 24.3;Karpas-707: 9.4;MOLT-4: 5.6;T-47d: 10.0
RREB1	HNT	ENSG00000124782	Ras responsive element binding protein 1	6	7107597-7251980	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001756, HPA034843	Approved		Supported	Nucleoli fibrillar center<br>Nuclear speckles	Renal cancer:1.41e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 23.1	Mixed		
RUNX1	AML1, AMLCR1, CBFA2, PEBP2A2	ENSG00000159216	Runt related transcription factor 1	21	34787801-36004667	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA004176, HPA037912	Enhanced		Enhanced	Nucleoplasm<br>Vesicles	Renal cancer:3.44e-15 (unfavourable)	Expressed in all	Mixed			breast: 34.0	Cell line enhanced		HEL: 225.2
RUNX2	AML3, CBFA1, CCD, CCD1, PEBP2A1, PEBP2aA1	ENSG00000124813	Runt related transcription factor 2	6	45328157-45664349	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB008374, HPA022040, CAB062561, CAB068226	Enhanced		Enhanced	Nucleoplasm	Renal cancer:3.97e-9 (unfavourable), Urothelial cancer:6.66e-5 (unfavourable), Stomach cancer:2.24e-4 (unfavourable)	Mixed	Mixed			cervix, uterine: 10.6	Cell line enhanced		Karpas-707: 54.6;RH-30: 54.1;U-698: 41.3
RUNX3	AML2, CBFA3, PEBP2A3	ENSG00000020633	Runt related transcription factor 3	1	24899511-24965121	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA004195, CAB025416, HPA059006	Enhanced		Supported	Nucleus<br>Cytosol	Renal cancer:5.59e-5 (unfavourable), Colorectal cancer:8.71e-4 (unfavourable)	Expressed in all	Tissue enhanced		spleen: 50.5	bone marrow: 45.2	Cell line enhanced		HDLM-2: 125.1;Karpas-707: 125.3;SK-MEL-30: 77.0
RXRA	NR2B1	ENSG00000186350	Retinoid X receptor alpha	9	134317098-134440585	Cancer-related genes, FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB004565, CAB005352	Supported		Supported	Nucleus<br>Golgi apparatus	Renal cancer:5.58e-4 (unfavourable), Pancreatic cancer:7.02e-4 (favourable)	Expressed in all	Mixed			esophagus: 25.8	Mixed		
RXRB	H-2RIIBP, NR2B2, RCoR-1	ENSG00000204231	Retinoid X receptor beta	6	33193588-33200688	Cancer-related genes, FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB002003, HPA063653	Supported		Supported	Nucleus		Expressed in all	Mixed			epididymis: 15.7	Cell line enhanced		RH-30: 8.5;T-47d: 8.2
RXRG	NR2B3	ENSG00000143171	Retinoid X receptor gamma	1	165400917-165445355	Cancer-related genes, FDA approved drug targets, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB002615, HPA012933	Uncertain		Supported	Nucleoplasm<br>Nuclear bodies	Thyroid cancer:9.40e-5 (favourable)	Group enriched	Tissue enhanced		skeletal muscle: 16.7	cervix, uterine: 4.7	Cell line enriched	6	SK-MEL-30: 29.1
SALL1	Hsal1, TBS, ZNF794	ENSG00000103449	Spalt like transcription factor 1	16	51135975-51151367	Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA049829	Uncertain		Approved	Nucleus<br>Cytosol	Renal cancer:1.91e-7 (favourable), Endometrial cancer:1.28e-4 (favourable)	Group enriched	Tissue enhanced		thyroid gland: 40.1	cerebral cortex: 30.3	Cell line enhanced		AF22: 29.2;NTERA-2: 48.0;RPTEC TERT1: 30.7;U-87 MG: 45.3
SALL2	Hsal2, KIAA0360, ZNF795	ENSG00000165821	Spalt like transcription factor 2	14	21521081-21537216	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA004162	Approved		Approved	Nucleus<br>Vesicles	Pancreatic cancer:1.23e-4 (favourable), Endometrial cancer:3.97e-4 (unfavourable)	Mixed	Tissue enhanced		parathyroid gland: 67.9	cerebral cortex: 42.4	Cell line enhanced		AF22: 123.9;NTERA-2: 95.1;SCLC-21H: 50.0
SALL3	ZNF796	ENSG00000256463	Spalt like transcription factor 3	18	78980275-79002677	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA016656	Uncertain					Tissue enriched	Tissue enhanced		cerebral cortex: 4.1;prostate: 2.0	kidney: 0.9	Group enriched	29	HAP1: 4.8;HEK 293: 2.5;NTERA-2: 9.5
SALL4	dJ1112F19.1, ZNF797	ENSG00000101115	Spalt like transcription factor 4	20	51782331-51802520	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA015291, HPA015791	Enhanced		Enhanced	Nucleoplasm		Tissue enriched	Group enriched	7	parathyroid gland: 6.7;prostate: 1.4;testis: 5.8;thyroid gland: 3.5	urinary bladder: 0.6	Cell line enhanced		AF22: 24.7;AN3-CA: 16.2;BEWO: 32.0;NTERA-2: 60.1;SiHa: 16.5
SATB1		ENSG00000182568	SATB homeobox 1	3	18345387-18445588	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA051769, CAB056144	Supported		Supported	Nucleoplasm<br>Nuclear bodies	Renal cancer:1.96e-7 (favourable), Pancreatic cancer:8.97e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 76.6	Cell line enhanced		HDLM-2: 421.9;REH: 115.4;THP-1: 129.6
SATB2	FLJ21474, KIAA1034	ENSG00000119042	SATB homeobox 2	2	199269500-199471266	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001042, CAB023669, HPA029543, CAB062562, CAB067751, CAB068229, CAB068230, CAB068231	Enhanced		Supported	Nucleoplasm	Renal cancer:5.37e-8 (favourable)	Tissue enhanced	Group enriched	5	cerebral cortex: 22.7;colon: 34.1;rectum: 43.2	small intestine: 6.3	Mixed		
SCRT1	DKFZp547F072, ZNF898	ENSG00000261678	Scratch family transcriptional repressor 1	8	144330565-144336281	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA045265	Uncertain		Supported	Nuclear bodies		Tissue enhanced	Tissue enriched	7	cerebral cortex: 10.9	adrenal gland: 1.5	Group enriched	12	SCLC-21H: 11.4;SH-SY5Y: 2.3
SCRT2	ZNF898B	ENSG00000215397	Scratch family transcriptional repressor 2	20	661596-676179	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA067697			Approved	Nucleoplasm		Tissue enriched	Not detected			cerebral cortex: 0.6	Group enriched	5	Karpas-707: 1.4;NTERA-2: 1.8;RPMI-8226: 2.8;SCLC-21H: 2.2;SH-SY5Y: 2.1
SCX	bHLHa41, bHLHa48, SCXA, SCXB	ENSG00000260428	Scleraxis bHLH transcription factor	8	144266560-144268481	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA043183	Uncertain				Glioma:2.46e-4 (unfavourable)	Group enriched	Tissue enhanced		skeletal muscle: 5.3	parathyroid gland: 2.9	Cell line enhanced		BEWO: 4.9;HaCaT: 5.0
SFPQ	PPP1R140, PSF	ENSG00000116560	Splicing factor proline and glutamine rich	1	35176378-35193148	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB009886, HPA047513, HPA054689	Enhanced		Enhanced	Nucleoplasm	Liver cancer:7.91e-13 (unfavourable), Breast cancer:9.56e-5 (favourable)	Expressed in all	Expressed in all			bone marrow: 135.5	Expressed in all		
SHOX	GCFX, PHOG, SHOXY, SS	ENSG00000185960	Short stature homeobox	X	624344-659411	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA035141, HPA060931			Enhanced	Nucleoplasm<br>Vesicles		Not detected	Mixed			spleen: 1.0	Cell line enhanced		BJ: 19.3;BJ hTERT+: 9.5
SHOX2	OG12, OG12X, SHOT	ENSG00000168779	Short stature homeobox 2	3	158095954-158106503	Predicted intracellular proteins, Transcription factors	Evidence at transcript level							Mixed	Tissue enhanced		adipose tissue: 4.1;testis: 3.3	cervix, uterine: 2.8	Cell line enhanced		SH-SY5Y: 26.1;THP-1: 28.6
SIM1	bHLHe14	ENSG00000112246	Single-minded family bHLH transcription factor 1	6	100385015-100464929	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA024385			Approved	Nuclear speckles	Renal cancer:5.32e-7 (favourable)	Tissue enhanced	Tissue enhanced		epididymis: 3.5;kidney: 11.2;seminal vesicle: 3.2	skeletal muscle: 1.2	Cell line enhanced		BJ: 13.9;BJ hTERT+: 19.3;RPTEC TERT1: 13.9
SIM2	bHLHe15, MGC119447, SIM	ENSG00000159263	Single-minded family bHLH transcription factor 2	21	36699133-36749917	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA029295	Approved		Supported	Nucleoplasm<br>Nuclear bodies	Endometrial cancer:2.10e-4 (unfavourable), Urothelial cancer:2.88e-4 (favourable)	Tissue enhanced	Tissue enhanced		esophagus: 22.8;kidney: 13.0;prostate: 10.3	stomach: 5.1	Cell line enhanced		PC-3: 40.7;RPTEC TERT1: 41.3;RT4: 26.9
SIX1	DFNA23	ENSG00000126778	SIX homeobox 1	14	60643415-60658259	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001893, CAB058690	Enhanced		Supported	Nucleus<br>Nucleoli	Endometrial cancer:8.92e-6 (unfavourable), Lung cancer:3.94e-4 (favourable)	Mixed	Group enriched	6	cervix, uterine: 21.9;parathyroid gland: 53.5;prostate: 21.2;salivary gland: 21.6;skeletal muscle: 41.5	adipose tissue: 5.6	Cell line enhanced		LHCN-M2: 118.6;RH-30: 69.5
SIX2		ENSG00000170577	SIX homeobox 2	2	45005161-45009430	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA056958			Supported	Nucleoplasm<br>Nuclear membrane		Mixed	Group enriched	5	cervix, uterine: 18.7;parathyroid gland: 8.6;prostate: 6.3;salivary gland: 9.4;skeletal muscle: 6.7	adipose tissue: 1.9	Cell line enhanced		ASC TERT1: 34.1;LHCN-M2: 39.0;RH-30: 30.9;SCLC-21H: 63.8;U-2197: 32.8;U-698: 29.5
SIX3	HPE2	ENSG00000138083	SIX homeobox 3	2	44941898-44946077	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA067988			Approved	Nucleoplasm		Mixed	Tissue enriched	31	parathyroid gland: 39.3	cervix, uterine: 1.2	Cell line enhanced		HAP1: 12.7;SCLC-21H: 77.1;SH-SY5Y: 27.8
SIX4	AREC3	ENSG00000100625	SIX homeobox 4	14	60709528-60724348	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA031794	Uncertain		Approved	Nucleoplasm		Mixed	Tissue enriched	5	parathyroid gland: 23.9	skeletal muscle: 4.7	Cell line enhanced		A-431: 29.3;RH-30: 31.5
SIX5	DMAHP	ENSG00000177045	SIX homeobox 5	19	45764785-45769226	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA042068	Approved					Expressed in all	Mixed			ovary: 33.7	Mixed		
SIX6	OPTX2, Six9	ENSG00000184302	SIX homeobox 6	14	60508951-60512850	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001403	Approved		Approved	Nucleoplasm		Tissue enriched	Not detected			testis: 0.1	Cell line enriched	14	MOLT-4: 33.0
SMAD1	JV4-1, MADH1, MADR1	ENSG00000170365	SMAD family member 1	4	145481194-145558079	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB005389	Approved		Supported	Nucleus<br>Plasma membrane<br>Cytosol		Expressed in all	Expressed in all			parathyroid gland: 67.4	Cell line enhanced		HUVEC TERT2: 94.6
SMAD2	JV18-1, MADH2, MADR2	ENSG00000175387	SMAD family member 2	18	47808957-47931146	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Evidence at protein level	CAB025507, HPA067203, CAB073546	Approved		Supported	Nucleus<br>Nucleoli<br>Cytosol	Liver cancer:9.44e-5 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 126.7	Expressed in all		
